Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
كمال البناني  ,Kamel Bennani,91,Male,,,,,1,Chamber of Deputies,الكاف,Le Kef,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محي الدين السلامي ,Mohieddine Sellami,92,Male,,,,,1,Chamber of Deputies,الكاف,Le Kef,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الصالحة زغلامي ,Salha Zohglami,93,Male,,,,,1,Chamber of Deputies,الكاف,Le Kef,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محسن خالدي,Mohsen Khaldi,94,Male,,,,,1,Chamber of Deputies,الكاف,Le Kef,2009-2011,,,الحزب الاجتماعي التحرري,Parti Social-Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
منجي الخماسي,Mongi Khammassi,95,Male,,,,,1,Chamber of Deputies,الكاف,Le Kef,2009-2011,,,حزب الخضر للتقدم,Parti Des Verts Pour Le Progres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد الجويني,Mohamed Jouini,96,Male,,,,,1,Chamber of Deputies, سليانة,Siliana,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
منجي الهمامي,Mongi Hammami,97,Male,,,,,1,Chamber of Deputies, سليانة,Siliana,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
حنان مستور,Hanene Mastour,98,Female,,,,,1,Chamber of Deputies, سليانة,Siliana,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد فتحي العوني,Mohamed Fethi El Aouni,99,Male,,,,,1,Chamber of Deputies, سليانة,Siliana,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
وسيلة العياري,Wassila Ayari,100,Female,,,,,1,Chamber of Deputies, سليانة,Siliana,2009-2011,,,حزب الوحدة الشعبية,Parti de l'Unite Populaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد المولدي العياري  ,Mohamed Mouldi Ayari,101,Male,,,,,1,Chamber of Deputies,جندوبة,Jendouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
رجاء الكلاعي حرم الفوزاعي  ,Raja Klai,102,Female,,,,,1,Chamber of Deputies,جندوبة,Jendouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مختار السوداني,Mokhtar Soudani,103,Male,,,,,1,Chamber of Deputies,جندوبة,Jendouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
فتحية مسلمي غنيمي,Fathia Ghenimi,104,Female,,,,,1,Chamber of Deputies,جندوبة,Jendouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
علي بن عمر,Ali Ben Amor,105,Male,,,,,1,Chamber of Deputies,جندوبة,Jendouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
حفيظ الرحوي,Hafidh Rahoui,106,Male,,,,,1,Chamber of Deputies,جندوبة,Jendouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد البوزيدي,Mohamed Bouzidi,107,Male,,,,,1,Chamber of Deputies,جندوبة,Jendouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الطيب محسني,Taieb Mohsni,108,Male,,,,,1,Chamber of Deputies,جندوبة,Jendouba,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
رمزي البوسليمي,Ramzi Bouslimi,109,Male,,,,,1,Chamber of Deputies,جندوبة,Jendouba,2009-2011,,,حزب الوحدة الشعبية,Parti de l'Unite Populaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عبد الوهاب الإينوبلي,Abdelwaheb Inoubli,110,Male,,,,,1,Chamber of Deputies,جندوبة,Jendouba,2009-2011,,,الاتحاد الديمقراطي الوحدوي,Union Democratique Unioniste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محسن التميمي,Mohsen Temimi,111,Male,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
خيار الدين الذهبي,Khereddine Dhahbi,112,Male,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
حمدة الكناني,Hamda Kenani,113,Female,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد المهدواني,Mohamed Mehdouani,114,Male,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
أيمن نقرة,Aymen Negra,115,Male,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عارم الرياشي,Arem Rayachi,116,Male,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
نجوى بن عامر,Najoua Ben Ameur,117,Female,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سكينة الكعبي,Soukeina Kaabi,118,Female,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
حذامي الحاجي,Hadhami Hajji,119,Female,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
علي بن سعيد,Ali Ben Said,120,Male,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
خالد الزمرلي,Khaled Zemirli,121,Male,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,حزب الوحدة الشعبية,Parti de l'Unite Populaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عبد الوهاب مالوش,Abdelwahab Malouch,122,Male,,,,,1,Chamber of Deputies, القيروان,Kairouan,2009-2011,,,الاتحاد الديمقراطي الوحدوي,Union Democratique Unioniste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الصحبي القروي,Sahbi Karoui,123,Male,,,,,1,Chamber of Deputies,سوسة,Sousse,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
أحمد السعيدي,Ahmed Saidi,124,Male,,,,,1,Chamber of Deputies,سوسة,Sousse,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
أحمد السعيدى,Ahmed Saidi,124,Male,1953,Doctor,Post Secondary,,1,Assembly of the Representatives of the People,سوسة,Sousse,2014-2019,2014-2019,1,حزب المباردة,Parti D'Initiative,2014-2016,حركة نداء تونس,Mouvement Nidaa Tounes,2016-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الهاشمي الوحشي,Hachemi Ouahchi,125,Male,,,,,1,Chamber of Deputies,سوسة,Sousse,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
رضا بوعرقوب,Ridha Bouargoub,126,Male,,,,,1,Chamber of Deputies,سوسة,Sousse,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
نسيمة السوسي,Nassima Ghannouchi Soussi,127,Female,,,,,1,Chamber of Deputies,سوسة,Sousse,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سميرة بعيزيق,Samira Bizig,128,Female,,,,,1,Chamber of Deputies,سوسة,Sousse,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سميرة بعيزيق,Samira Bizig,128,Female,,,,,1,Assembly of the Representatives of the People,سوسة,Sousse,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عايدة مرجان,Aida Morjane,129,Female,,,,,1,Chamber of Deputies,سوسة,Sousse,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بوراوي بن حسين,Bouraoui Ben Hassine,130,Male,,,,,1,Chamber of Deputies,سوسة,Sousse,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
علي بن الحاج مبارك,Ali Belhaj Mbarek,131,Male,,,,,1,Chamber of Deputies,سوسة,Sousse,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الأصمر الصويد,Asmar Souid,132,Male,,,,,1,Chamber of Deputies,سوسة,Sousse,2009-2011,,,حزب الوحدة الشعبية,Parti de l'Unite Populaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
رمزي الخليفي,Ramzi Khlifi,133,Male,,,,,1,Chamber of Deputies,سوسة,Sousse,2009-2011,,,حزب الخضر للتقدم,Parti Des Verts Pour Le Progres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد قرصان,Mohamed Gorsan ,134,Male,,,,,1,Chamber of Deputies,المنستير,Monastir,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عمر بن الحاج صالح,Amor Ben Haj Salah,135,Male,,,,,1,Chamber of Deputies,المنستير,Monastir,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عبد العزيز شبيل,Abdelaziz Chebil,136,Male,,,,,1,Chamber of Deputies,المنستير,Monastir,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سعيد يوسف,Said Youssef,137,Male,,,,,1,Chamber of Deputies,المنستير,Monastir,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
منية بوزويتة,Monia Boughammoura Bouzouita,138,Female,,,,,1,Chamber of Deputies,المنستير,Monastir,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عليا عكارة,Alya Akkara,139,Female,,,,,1,Chamber of Deputies,المنستير,Monastir,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عثمان بن عثمان,Othman Ben Othman,140,Male,,,,,1,Chamber of Deputies,المنستير,Monastir,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الناصر العابد,Naceur El Abed,141,Male,,,,,1,Chamber of Deputies,المنستير,Monastir,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد منير جبارة,Mohamed Mounir Jebara,142,Male,,,,,1,Chamber of Deputies,المهدية,Mahdia,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عامر بن عبد اللّه,Ameur Ben Abdallah,143,Male,,,,,1,Chamber of Deputies,المهدية,Mahdia,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
دليلة بن عمر,Dalila Ben Amor,144,Female,,,,,1,Chamber of Deputies,المهدية,Mahdia,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مبروك العيوني,Mabrouk Layouni,145,Male,,,,,1,Chamber of Deputies,المهدية,Mahdia,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الحبيب عزوز,Habib Azouz,146,Male,,,,,1,Chamber of Deputies,المهدية,Mahdia,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
يامنة الماجري حرم بالمبروك  ,Emna Mejri Belmabrouk,147,Female,,,,,1,Chamber of Deputies,المهدية,Mahdia,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
زينب بن زاكور,Zeineb Ben Zakour,148,Female,,,,,1,Chamber of Deputies,المهدية,Mahdia,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
توفيق بوهلال,Taoufik Bouhlel,149,Male,,,,,1,Chamber of Deputies,المهدية,Mahdia,2009-2011,,,حزب الوحدة الشعبية,Parti de l'Unite Populaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
يحي علوي    ,Yahia Aloui,150,Male,,,,,1,Chamber of Deputies,القصرين,Kasserine,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
المنعم شعباني,Monaim Chaabani,151,Male,,,,,1,Chamber of Deputies,القصرين,Kasserine,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عثمان فارحي,Othman Farhi,152,Male,,,,,1,Chamber of Deputies,القصرين,Kasserine,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
منوبية غضباني,Manoubia Ghodhbani,153,Female,,,,,1,Chamber of Deputies,القصرين,Kasserine,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مبروك خشناوي,Mabrouk Khachnaoui,154,Male,1972,Entrepreneur ,Post Secondary,Kasserine,1,Chamber of Deputies,القصرين,Kasserine,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مبروك الخشناوي,Mabrouk Khachnaoui,154,Male,1972,Entrepreneur ,Post Secondary,Kasserine,1,Assembly of the Representatives of the People,القصرين,Kasserine,2019-2024,2019-2021,0,,Liste Independent Wafa Bil Ahd,2019-2021,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
لطفي المحمدي,Lotfi Mhamedi,155,Male,,,,,1,Chamber of Deputies,القصرين,Kasserine,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
فاطمة الزهراء القاسمي         ,Fatma Zahra Gasmi,156,Female,,,,,1,Chamber of Deputies,القصرين,Kasserine,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الأزهر ضيفي,Lazhar Dhifi,157,Male,,,,,1,Chamber of Deputies,سيدي بوزيد,Sidi Bouzid,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عبد الرزاق ضي,Abderrazak Dhay,158,Male,,,,,1,Chamber of Deputies,سيدي بوزيد,Sidi Bouzid,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سنية عوني,Sonia El Ouni,159,Female,,,,,1,Chamber of Deputies,سيدي بوزيد,Sidi Bouzid,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
نسرين السايبي,Nesrine Saibi,160,Female,,,,,1,Chamber of Deputies,سيدي بوزيد,Sidi Bouzid,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد العليبي,Mohamed Alibi,161,Male,,,,,1,Chamber of Deputies,سيدي بوزيد,Sidi Bouzid,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
التهامي الهاني,Touhami Hani,162,Male,,,,,1,Chamber of Deputies,سيدي بوزيد,Sidi Bouzid,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
منعم أحمدي  ,Moneim Lahmadi,163,Male,,,,,1,Chamber of Deputies,سيدي بوزيد,Sidi Bouzid,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
روضة السايبي,Raoudha Saibi,164,Female,,,,,1,Chamber of Deputies,سيدي بوزيد,Sidi Bouzid,2009-2011,,,الحزب الاجتماعي التحرري,Parti Social-Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عبد اللّه بن جنات,Abdallah Ben jannet,165,Male,,,,,1,Chamber of Deputies,قفصة,Gafsa,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
منور خميلة  ,Menaouer Khemila,166,Male,,,,,1,Chamber of Deputies,قفصة,Gafsa,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
جمال سالم,Jamel Salem,167,Male,,,,,1,Chamber of Deputies,قفصة,Gafsa,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عبد الحميد القادري,Abdelhamid Kadri,168,Male,,,,,1,Chamber of Deputies,قفصة,Gafsa,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
جميلة مبروكي,Jamila Mabrouki,169,Female,,,,,1,Chamber of Deputies,قفصة,Gafsa,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مبروك فطيمة,Mabrouk Ftima,170,Male,,,,,1,Chamber of Deputies,قفصة,Gafsa,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بوجمعة اليحياوي               ,Boujemaa Yahyaoui,171,Male,,,,,1,Chamber of Deputies,قفصة,Gafsa,2009-2011,,,الحزب الاجتماعي التحرري,Parti Social-Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
إبراهيم حفايضية               ,Brahim Hfaydhia,172,Male,,,,,1,Chamber of Deputies,قفصة,Gafsa,2009-2011,,,الاتحاد الديمقراطي الوحدوي,Union Democratique Unioniste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
علي جدي,Ali Hafsi Jeddi,173,Male,,,,,1,Chamber of Deputies,توزر,Tozeur,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شاكر عيساوي,Chaker Aissaoui,174,Male,,,,,1,Chamber of Deputies,توزر,Tozeur,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
فيصل بغدادي,Faicel Baghdadi,175,Male,,,,,1,Chamber of Deputies,توزر,Tozeur,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عبد اللّه رويسي,Abdallah Rouissi,176,Male,,,,,1,Chamber of Deputies,توزر,Tozeur,2009-2011,,,حزب الوحدة الشعبية,Parti de l'Unite Populaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
نبيلة قويعة   ,Nabila Kallel,177,Female,,,,,1,Chamber of Deputies, صفاقس1,Sfax 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
نعيمة اللواتي,Naima Louati,178,Female,,,,,1,Chamber of Deputies, صفاقس1,Sfax 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد الزعيبي,Mohamed Zaibi,179,Male,,,,,1,Chamber of Deputies, صفاقس1,Sfax 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
علي بنعون,Ali Ben Aoun,180,Male,,,,,1,Chamber of Deputies, صفاقس1,Sfax 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
